,State_Alpha,Metro_Area_Name,County_Name,2021,2020,2019,2018
295,CO,"Pueblo, CO MSA",Pueblo County,61400,61200,65200,55300
296,CO,"Rio Blanco County, CO",Rio Blanco County,78300,83400,78800,78800
297,CO,"Rio Grande County, CO",Rio Grande County,56400,55800,55500,52700
298,CO,"Routt County, CO",Routt County,93000,87200,86100,86700
299,CO,"Saguache County, CO",Saguache County,50000,48200,46400,46800
300,CO,"San Juan County, CO",San Juan County,66100,64600,62900,57000
301,CO,"San Miguel County, CO",San Miguel County,87800,81500,78800,77000
302,CO,"Sedgwick County, CO",Sedgwick County,64500,63800,59600,58700
303,CO,"Summit County, CO",Summit County,96100,95900,89100,90600
304,CO,"Teller County, CO HUD Metro FMR Area",Teller County,79900,81800,79800,80700
305,CO,"Washington County, CO",Washington County,63800,64200,61200,59700
306,CO,"Greeley, CO MSA",Weld County,89700,84300,79200,82400
307,CO,"Yuma County, CO",Yuma County,56100,54100,55900,58400
308,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,122000,113300,116300
309,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,122000,113300,93800
312,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,122000,113300,134900
331,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,122000,102600,116300
332,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,122000,102600,93800
335,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,122000,102600,134900
354,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,122000,144300,116300
355,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,122000,144300,93800
358,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,122000,144300,134900
377,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,98000,113300,116300
378,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,98000,113300,93800
381,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,98000,113300,134900
400,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,98000,102600,116300
401,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,98000,102600,93800
404,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,98000,102600,134900
423,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,98000,144300,116300
424,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,98000,144300,93800
427,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,98000,144300,134900
446,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,143400,113300,116300
447,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,143400,113300,93800
450,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,143400,113300,134900
469,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,143400,102600,116300
470,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,143400,102600,93800
473,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,143400,102600,134900
492,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,143400,144300,116300
493,CT,"Danbury, CT HUD Metro FMR Area",Fairfield County,115800,143400,144300,93800
