,month_date_yyyymm,postal_code,zip_name,median_listing_price,active_listing_count
3008724,202504,85755,"tucson, az",574750.0,
3008725,202504,54421,"colby, wi",257750.0,
3008726,202504,78154,"schertz, tx",394975.0,
3008727,202504,33870,"sebring, fl",239550.0,
3008728,202504,74127,"tulsa, ok",202350.0,
3008729,202504,32192,,400000.0,
3008730,202504,73179,"oklahoma city, ok",371613.0,
3008731,202504,24944,"green bank, wv",235000.0,
3008732,202504,12017,"austerlitz, ny",1336250.0,
3008733,202504,15520,"acosta, pa",90000.0,
3008734,202504,13355,"hubbardsville, ny",724900.0,
3008735,202504,95463,"navarro, ca",499000.0,
3008736,202504,80021,"broomfield, co",570000.0,
3008737,202504,28425,"burgaw, nc",357450.0,
3008738,202504,52585,"richland, ia",402375.0,
3008739,202504,33009,"hallandale, fl",340000.0,
3008740,202504,75189,"royse city, tx",359950.0,
3008442,202504,12405,"acra, ny",656175.0,
3008440,202504,55011,"cedar, mn",632623.0,
3008002,202504,45885,"saint marys, oh",299900.0,
3008152,202504,86426,"fort mohave, az",420875.0,
3008141,202504,56721,"east grand forks, mn",300173.0,
3008142,202504,65614,"bradleyville, mo",774500.0,
3008143,202504,48601,"saginaw, mi",69175.0,
3008144,202504,27943,"hatteras, nc",667975.0,
3008145,202504,22923,"barboursville, va",458683.0,
3008146,202504,80138,"parker, co",794925.0,
3008147,202504,98121,"seattle, wa",607500.0,
3008148,202504,77003,"houston, tx",429450.0,
3008149,202504,60077,"skokie, il",422500.0,
3008150,202504,58763,"new town, nd",1074500.0,
3008151,202504,56368,"richmond, mn",384975.0,
3008153,202504,13116,"minoa, ny",141225.0,
3008166,202504,37931,"knoxville, tn",475000.0,
3008154,202504,4553,"newcastle, me",994250.0,
3008155,202504,62890,"thompsonville, il",500000.0,
3008156,202504,70816,"baton rouge, la",246995.0,
3008157,202504,41535,"huddy, ky",374000.0,
3008158,202504,10029,"new york, ny",874000.0,
3008159,202504,48460,"new lothrop, mi",192450.0,
3008160,202504,34288,"north port, fl",365000.0,
3008161,202504,94538,"fremont, ca",1361250.0,
3008162,202504,42044,"gilbertsville, ky",409950.0,
3008163,202504,59833,"florence, mt",951750.0,
3008164,202504,98031,"kent, wa",717000.0,
3008140,202504,17004,"belleville, pa",403725.0,
3008139,202504,63070,"pevely, mo",277400.0,
3008138,202504,25271,"ripley, wv",228500.0,
3008137,202504,33785,"indian rocks beach, fl",758225.0,
3008114,202504,53216,"milwaukee, wi",169925.0,
3008115,202504,4922,"burnham, me",182000.0,
3008116,202504,17325,"gettysburg, pa",462498.0,
3008117,202504,83847,"naples, id",462500.0,
3008118,202504,34224,"englewood, fl",374200.0,
3008119,202504,92570,"perris, ca",649000.0,
3008120,202504,16870,"port matilda, pa",767000.0,
3008121,202504,60516,"downers grove, il",479700.0,
3008122,202504,35035,"brierfield, al",453950.0,
3008123,202504,75670,"marshall, tx",162250.0,
3008124,202504,63367,"lake saint louis, mo",498800.0,
3008125,202504,42064,"marion, ky",203175.0,
3008126,202504,4413,"brookton, me",305000.0,
3008127,202504,56723,"fisher, mn",465000.0,
3008128,202504,56334,"glenwood, mn",409450.0,
3008129,202504,17304,"aspers, pa",363650.0,
3008130,202504,48074,"smiths creek, mi",260000.0,
3008131,202504,54128,"gresham, wi",175000.0,
3008132,202504,8075,"riverside, nj",387250.0,
3008133,202504,98032,"kent, wa",578737.0,
3008134,202504,42206,"auburn, ky",299950.0,
3008135,202504,38652,"new albany, ms",329000.0,
3008136,202504,67756,"saint francis, ks",170000.0,
3008165,202504,22401,"fredericksburg, va",650000.0,
3008167,202504,49321,"comstock park, mi",309500.0,
3008112,202504,49781,"saint ignace, mi",319950.0,
3008207,202504,38080,"ridgely, tn",97700.0,
3008196,202504,37918,"knoxville, tn",367725.0,
3008197,202504,32958,"sebastian, fl",375450.0,
3008198,202504,23480,"wachapreague, va",299250.0,
3008199,202504,37217,"nashville, tn",332175.0,
3008200,202504,29651,"greer, sc",385175.0,
3008201,202504,77971,"lolita, tx",214450.0,
3008202,202504,95497,"the sea ranch, ca",1920000.0,
3008203,202504,33548,"lutz, fl",668060.0,
3008204,202504,13064,,397450.0,
3008205,202504,53007,"butler, wi",321000.0,
3008206,202504,14092,"lewiston, ny",447400.0,
3008208,202504,46950,"lucerne, in",271875.0,
3008168,202504,10931,"hillburn, ny",643250.0,
3008209,202504,60638,"chicago, il",371500.0,
3008210,202504,34228,"longboat key, fl",1397500.0,
3008211,202504,13209,"syracuse, ny",223900.0,
3008212,202504,83444,"roberts, id",397175.0,
