,County,State,Avg_house_price,Avg_property_tax,Tax_per_1000
2842,Lampasas County,TX,152798.53790613718,2257.0938628158847,14.771698039430179
2843,La Salle County,TX,78630.07159904535,1033.3333333333333,13.141706631052834
2844,Lavaca County,TX,150615.61786762308,1513.9876100423867,10.051996144072117
2845,Lee County,TX,192479.67985771454,1941.329479768786,10.08589312494629
2846,Leon County,TX,122359.08481715489,1132.7015125406854,9.257191766621315
2847,Liberty County,TX,109900.12808689415,1659.6116405369403,15.101089229165812
2848,Limestone County,TX,109349.46271572777,1261.7225659394335,11.538443213200711
2849,Lipscomb County,TX,113445.83333333333,1362.3809523809523,12.009087617858324
2850,Live Oak County,TX,129800.03288391976,962.0848405129891,7.412053904280457
2851,Llano County,TX,270821.0134128167,2781.713859910581,10.271410718304828
2852,Lubbock County,TX,137149.63303202184,2367.3733592690064,17.261244575960838
2853,Lynn County,TX,97111.92010309278,1811.5979381443299,18.65474327169271
2854,McCulloch County,TX,133608.3819849875,1241.534612176814,9.2923407478755
2855,McLennan County,TX,135369.83223605933,2324.7600539382884,17.173398352775877
2856,McMullen County,TX,144166.66666666666,843.6274509803922,5.851751105066304
2857,Madison County,TX,156016.1813490601,1377.7368227054922,8.830730317793362
2858,Marion County,TX,109698.95895300417,1082.1534800713862,9.864756150830825
2859,Martin County,TX,125461.83533447684,1208.2332761578045,9.63028536077682
2860,Mason County,TX,235552.2496371553,1566.6908563134978,6.651139433933781
2861,Matagorda County,TX,107311.3798484173,1575.6910387873384,14.683354561399554
2862,Maverick County,TX,100791.14528101803,1463.865323435843,14.523749277323992
2863,Medina County,TX,159308.12562313062,2237.2050515121305,14.043257635235783
2864,Menard County,TX,183173.23076923078,1135.3846153846155,6.198419990828354
2865,Midland County,TX,188272.89451815342,2715.210476545262,14.421674896401292
2866,Milam County,TX,125157.91413008652,1424.271066965716,11.37979229571818
2867,Mills County,TX,162218.59060402686,1381.2080536912752,8.514486832540564
2868,Mitchell County,TX,65329.646697388634,951.2544802867384,14.560839195916882
2869,Montague County,TX,138031.85172760818,1549.7316336799731,11.227347994564406
2870,Montgomery County,TX,224215.62197780583,4096.833150294228,18.271845262859326
2871,Moore County,TX,104328.55626326964,1412.9936305732483,13.543690061305997
2872,Morris County,TX,102147.32590529248,1187.5487465181059,11.625842732477995
2873,Motley County,TX,75407.73809523809,969.6428571428571,12.858665193195721
2874,Nacogdoches County,TX,150291.3027304516,1359.4449817721895,9.045400213280223
2875,Navarro County,TX,110113.00590044046,1755.4558298013797,15.942311404963268
2876,Newton County,TX,102275.80253574319,1017.7502023199353,9.95103609149636
2877,Nolan County,TX,80593.68393234673,1193.6046511627908,14.810151278910963
2878,Nueces County,TX,136950.47734006363,2285.6057280807636,16.689286320670092
2879,Ochiltree County,TX,93993.1320754717,1422.2641509433963,15.131575249576645
2880,Oldham County,TX,125986.24229979466,2293.429158110883,18.203806354137296
2881,Orange County,TX,118659.68241997654,1617.2364672364672,13.629199356126062
2882,Palo Pinto County,TX,139981.86850276764,1721.142162818955,12.295464985773679
2883,Panola County,TX,118038.64112959597,1256.4658185376766,10.644529677007958
2884,Parker County,TX,197536.5205446727,3027.06342570473,15.324069783947431
2885,Parmer County,TX,111487.15596330275,1574.268239405854,14.120624262081295
2886,Pecos County,TX,84787.76699029126,897.4433656957929,10.584585460288816
2887,Polk County,TX,112693.0476960388,1262.717718821195,11.204930070105647
2888,Potter County,TX,123180.24528075027,1995.2226363672798,16.197586161805436
2889,Presidio County,TX,79384.77895914941,1116.2842753217683,14.061691547899839
2890,Rains County,TX,130176.71633070406,1747.385334501899,13.423178766184263
2891,Randall County,TX,163682.00861684742,2790.179765265191,17.04634363203925
2892,Reagan County,TX,86956.42201834862,995.9862385321101,11.453854878273942
2893,Real County,TX,163772.72727272726,1171.4129244249725,7.152673976505523
2894,Red River County,TX,94648.3501862693,1034.9920170303353,10.935130036534776
2895,Reeves County,TX,66262.29260935144,719.6078431372549,10.859990121073753
2896,Refugio County,TX,112111.28133704736,1101.392757660167,9.824102842505022
2897,Roberts County,TX,137406.55737704918,1358.032786885246,9.883318618912405
2898,Robertson County,TX,146549.61313012894,1288.5345838218054,8.792480282275799
2899,Rockwall County,TX,226331.31532329496,4390.96545615589,19.400609455584046
2900,Runnels County,TX,98699.21930447126,1321.7530163236338,13.39172716499649
2901,Rusk County,TX,125016.35039717564,1238.6804942630185,9.908147936871805
2902,Sabine County,TX,108122.46771879484,814.1463414634146,7.529853495212931
2903,San Augustine County,TX,88734.78608556578,824.7900839664135,9.295002786968793
2904,San Jacinto County,TX,129463.48476890757,1618.59243697479,12.502308584262032
2905,San Patricio County,TX,112889.65360664245,1892.3910223144785,16.76319274491183
2906,San Saba County,TX,143933.125,1488.75,10.343345216745623
2907,Schleicher County,TX,102665.53133514986,1261.1716621253406,12.284275410880282
2908,Scurry County,TX,113050.0576967459,1550.0576967459035,13.711250823983624
2909,Shackelford County,TX,100953.95614871306,1705.4337464251669,16.89318389774572
2910,Shelby County,TX,97437.92603335751,898.4916606236403,9.221169797025905
2911,Sherman County,TX,95153.79581151833,1511.125654450262,15.880876233708173
2912,Smith County,TX,154792.89730746349,2147.9762795785596,13.87645245319013
2913,Somervell County,TX,195434.2708784076,1822.8472522717439,9.327162754406855
2914,Starr County,TX,83922.62494920765,908.4274685087363,10.824583585874993
2915,Stephens County,TX,119743.77401998463,1260.3766333589547,10.525613074034265
2916,Sterling County,TX,136126.07449856732,925.214899713467,6.796750021049086
2917,Stonewall County,TX,98037.28070175438,1136.4035087719299,11.591544569958618
2918,Sutton County,TX,106752.52525252526,1211.010101010101,11.34408856507546
2919,Swisher County,TX,73766.22176591375,1129.6714579055442,15.314210635463887
2920,Tarrant County,TX,178940.1518414818,3746.2144871066903,20.93557230478579
2921,Taylor County,TX,123826.24212024672,1742.3032603538263,14.070549428948096
2922,Terrell County,TX,65517.17557251908,650,9.92106259648714
2923,Terry County,TX,77603.954399715,1173.4235838973993,15.120667406372641
2924,Throckmorton County,TX,74836.52694610778,1070.6586826347304,14.306632420365347
2925,Titus County,TX,115515.54319815543,1455.0250915502509,12.595924767061867
2926,Tom Green County,TX,133117.93549843825,1778.4781545177436,13.360169295433586
2927,Travis County,TX,301388.3405356689,5345.744921775703,17.737066113023843
2928,Trinity County,TX,98106.50525800929,1163.2673025189533,11.857188261468377
2929,Tyler County,TX,101680.33814312782,991.3132196472817,9.749310808269383
2930,Upshur County,TX,125720.97729080144,1371.5030485110894,10.909102665808161
2931,Upton County,TX,74295.68764568765,677.039627039627,9.11277152811876
2932,Uvalde County,TX,104215.76338400529,1437.4421678783874,13.792943804305535
2933,Val Verde County,TX,108044.16574696498,1561.4226948931473,14.451707633616566
2934,Van Zandt County,TX,159302.90189165366,1519.8657536104142,9.540728609225946
2935,Victoria County,TX,145911.41213936024,2385.712248681021,16.350415733091687
2936,Walker County,TX,149694.34041481232,1948.9965572256276,13.019841310131278
2937,Waller County,TX,172787.65028475007,2717.675595865851,15.728413410259266
2938,Ward County,TX,88300.67615658364,717.7935943060498,8.128970530567468
2939,Washington County,TX,186340.79471706707,2266.0480473642265,12.160772689656655
2940,Webb County,TX,128907.2185399552,2672.7105115758027,20.73359848926837
2941,Wharton County,TX,129040.31729785056,1972.9682702149437,15.289549123325099
2942,Wheeler County,TX,103472.96976882039,1223.888559573207,11.828099283393742
2943,Wichita County,TX,113355.72311412642,2113.0482971720294,18.640861168029552
2944,Wilbarger County,TX,78312.23419749491,1376.521992426449,17.577355652438815
2945,Willacy County,TX,66130.81341911765,989.5220588235294,14.963101278555726
2946,Williamson County,TX,209715.08042522403,4320.281627428062,20.600719884655607
2947,Wilson County,TX,162934.3597188264,2576.4669926650367,15.812913845251613
2948,Winkler County,TX,58240.0285578296,717.8962398857686,12.32650906365768
2949,Wise County,TX,153833.74784535827,2137.946318640729,13.89777177365466
2950,Wood County,TX,136000.57821293655,1527.0063988898312,11.227940490804327
2951,Yoakum County,TX,94856.46639511202,923.5234215885947,9.736009116571774
2952,Young County,TX,111825.46643585304,1533.6795537603384,13.714939920595906
2953,Zapata County,TX,75092.05487282081,805.3158045155759,10.724380973186763
2954,Zavala County,TX,74530.5197342712,658.0695584212583,8.829531321766158
2994,Addison County,VT,271251.0161640987,4412.940731638151,16.26884497630215
2995,Bennington County,VT,260946.14676364977,4128.155786759967,15.819953036129775
2996,Caledonia County,VT,185908.950142763,3104.074236766967,16.6967444783228
2997,Chittenden County,VT,298438.39325018344,4957.740278796772,16.612273725253093
2998,Essex County,VT,165469.23423423423,2201.3963963963965,13.303961951501831
2999,Franklin County,VT,208396.63318715518,3112.4699391710283,14.935317771548672
3000,Grand Isle County,VT,309639.1213389121,4572.175732217574,14.766143607587454
3001,Lamoille County,VT,264151.3393476752,4326.953504510757,16.38058514182142
3002,Orange County,VT,207390.94814360232,3550.496062186765,17.119821737486433
3003,Orleans County,VT,187621.87355257064,2860.409911996295,15.245610001836077
3004,Rutland County,VT,206068.4213467449,3584.8952221290865,17.396625832819357
3005,Washington County,VT,238051.10371602885,4118.402662229617,17.300498077683603
3006,Windham County,VT,235440.45288095062,4327.344742545401,18.379784313163476
3007,Windsor County,VT,267715.9512392397,4658.177826564215,17.39970220303203
3012,Accomack County,VA,170047.27941907887,876.8825226300606,5.1566983348730755
3013,Albemarle County,VA,423427.22498508054,2773.725880246668,6.550655500114335
3014,Alleghany County,VA,135224.67678471052,899.0631440884392,6.648661808375598
3015,Amelia County,VA,210290.4014410705,928.6155429747813,4.415872225318883
3016,Amherst County,VA,174066.30747892885,854.1768910700949,4.907192571850788
3017,Appomattox County,VA,155107.3982227733,867.7412688572019,5.5944544154554565
3018,Arlington County,VA,626378.6987047292,5226.593600111222,8.344143264959595
3019,Augusta County,VA,231868.07083680358,1141.3974488230394,4.9226158854204325
3020,Bath County,VA,187797.07287933095,831.1230585424133,4.425644371339333
3021,Bedford County,VA,235602.50121812572,1187.9202533701477,5.042052810255806
3022,Bland County,VA,152564.91819056784,825.2165543792108,5.408953540344302
3023,Botetourt County,VA,249981.48865036073,1453.114552173148,5.812888626347698
3024,Brunswick County,VA,138418.31603229526,681.683967704729,4.9248104387116
3025,Buchanan County,VA,108869.20538542766,383.8569165786695,3.525853938399824
3026,Buckingham County,VA,136333.55901602347,716.5425411870909,5.25580456021745
3027,Campbell County,VA,159157.25792017183,781.2660342461667,4.908767871824134
3028,Caroline County,VA,210701.2819045439,1279.031704246309,6.0703555891309735
3029,Carroll County,VA,125207.99309364209,831.0379849685152,6.6372598460785825
3030,Charles City County,VA,192283.54541465556,1180.7810443176832,6.140832496984351
3031,Charlotte County,VA,154205.73770491802,671.7798594847775,4.3563869249163005
3032,Chesterfield County,VA,248732.97333515037,2196.035477423458,8.828887654008192
3033,Clarke County,VA,401273.216374269,2526.4561403508774,6.296099608089572
3034,Craig County,VA,150606.6358915176,884.8817080207732,5.87544966251126
3035,Culpeper County,VA,279092.0674474624,1796.4864191378022,6.436895306872099
3036,Cumberland County,VA,150975.7328990228,1070.1302931596092,7.0880947064210975
3037,Dickenson County,VA,92616.5012406948,498.4284532671629,5.3816376843239935
3038,Dinwiddie County,VA,173809.6826034552,1208.4103388241597,6.952491487951992
3039,Essex County,VA,177360.6783919598,1159.390703517588,6.5369095000605615
3040,Fairfax County,VA,537889.8819416371,5104.748536435641,9.490322662342853
3041,Fauquier County,VA,413919.4874300918,3179.931584948689,7.682488216952477
